1:	17217459
2:	15458645
3:	17217459
4:	17209125
5:	14745029
6:	19392685
7:	19392685
8:	19392685
9:	19392685
10:	18591352
11:	18591352
12:	18178669
13:	18178669
14:	19060218
15:	18786002
16:	16367964
17:	17655650
18:	17655650
19:	7704045
20:	7743935
21:	7743935
22:	7743935
23:	15743450
24:	15743450
25:	19666544
26:	16278345
27:	17485080
28:	16740662
30:	17081979
31:	17081979
33:	18024560
34:	18849491
35:	15618487
36:	16481625
37:	18643985
38:	18643975
39:	18612100
40:	17270011
41:	17270011
42:	16460513
43:	16460513
44:	16210544
45:	16286448
46:	18485060
49:	18178669
50:	19060218
51:	16377756
53:	15659631
54:	15659631
55:	15659631
56:	15659631
57:	15659631
58:	15659631
59:	15659631
60:	15659631
61:	15659631
62:	15659631
63:	15659631
64:	15659631
65:	15659631
66:	15659631
67:	15659631
68:	15659631
69:	15659631
70:	16461383
71:	16461383
72:	18950478
73:	16623892
75:	12244233
76:	12244233
77:	17307927
78:	17307927
79:	17496893
80:	17496893
81:	17318317
82:	18394997
83:	18394997
84:	19081078
85:	15155880
86:	16357038
87:	16357038
88:	16357038
89:	16357038
90:	11479382
91:	11479382
95:	16361392
96:	16361392
97:	15155880
98:	17363254
99:	17363254
100:	17363254
101:	16361392
104:	20110319
105:	19210750
106:	12244265
107:	16098103
108:	15548601
109:	19004800
110:	17922773
111:	8819871
112:	15031265
113:	19037657
114:	19201913
115:	15031265
116:	18780802
117:	15710401
118:	20197506
120:	20197506
122:	17535918
123:	17535918
124:	17535918
125:	17220200
126:	17220200
127:	21441406
128:	17435085
129:	17189341
130:	17189341
131:	16339310
132:	17369435
133:	19304937
134:	19304937
135:	19304937
136:	18643985
137:	17960244
138:	17031512
139:	18809930
140:	18809930
141:	17028967
142:	16460509
143:	16460509
144:	16460509
145:	19146828
146:	19146828
147:	16514016
148:	20215588
149:	7704045
150:	7704045
151:	7704045
152:	7704045
153:	17369372
155:	19043666
156:	19043666
157:	16359390
158:	21441406
159:	7867930
160:	7867930
161:	7867930
162:	17419840
163:	17419840
164:	19309460
165:	17426032
166:	17355438
167:	17355438
168:	18849491
169:	18408046
170:	18835563
171:	16463096
172:	16367966
173:	16367966
174:	16367966
175:	16367966
176:	16367966
177:	16367966
178:	12419184
180:	12419184
181:	16500990
183:	16500990
184:	16500990
186:	11826296
187:	17693533
188:	17693533
189:	19135895
190:	18363780
191:	20487379
192:	18503769
193:	12953110
194:	20498340
195:	17062755
196:	19074290
197:	17062755
198:	17461783
199:	18612100
200:	17601829
201:	16227434
202:	18394997
203:	18394997
204:	18394997
205:	18394997
206:	18394997
207:	17059404
208:	17059404
209:	17059404
210:	18451323
211:	17257168
212:	17257168
213:	17257168
214:	19223001
215:	19223001
217:	16412086
218:	17081979
219:	14871314
220:	17630277
221:	17461780
222:	19081078
223:	20197506
225:	16400151
226:	16400151
227:	16460513
228:	16460513
229:	15053761
230:	15053761
232:	16357038
233:	16357038
234:	16357038
235:	16357038
236:	11479382
237:	11479382
238:	16361392
239:	16361392
240:	16361392
241:	11479382
242:	11479382
246:	16753566
256:	11234017
257:	12410813
258:	15053761
259:	12410813
260:	20110319
261:	11114883
262:	11114883
263:	11114883
264:	15053761
265:	15053761
266:	15053761
267:	15053761
268:	15053761
269:	15053761
270:	15053761
271:	15053761
272:	16357038
273:	16357038
274:	16357038
275:	16357038
276:	16357038
277:	16357038
278:	9210330
279:	16813575
280:	16829587
281:	14615593
282:	15084720
283:	15084720
284:	15155883
285:	18808455
286:	18808455
287:	17337631
288:	17337631
291:	18429939
292:	9425146
293:	9425146
294:	9425146
295:	9425146
296:	17873093
297:	16582010
298:	20097871
299:	17346262
300:	7743935
301:	16927206
